City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Henties Bay,-22.12,14.28,56.66,91,26,1.19,NA,2019-11-07 02:59:25
1,Bethel,60.79,-161.76,37.4,90,90,9.17,US,2019-11-07 02:59:26
2,Saint-Francois,46.42,3.91,46.4,81,98,6.93,FR,2019-11-07 02:58:41
3,Ushuaia,-54.81,-68.31,33.8,98,90,27.51,AR,2019-11-07 02:59:26
4,Mar Del Plata,-46.43,-67.52,49.62,31,0,33.98,AR,2019-11-07 02:58:41
5,Kruisfontein,-34.0,24.73,56.61,80,97,24.83,ZA,2019-11-07 02:58:41
6,Bronnoysund,65.46,12.2,32.0,64,100,11.41,NO,2019-11-07 02:59:27
7,Yumen,40.29,97.04,44.55,41,2,23.35,CN,2019-11-07 02:59:27
8,Albany,42.65,-73.75,39.0,55,90,3.36,US,2019-11-07 02:59:28
9,Dikson,73.51,80.55,-11.64,93,1,11.81,RU,2019-11-07 02:59:28
10,Ossora,59.24,163.07,38.97,87,28,18.39,RU,2019-11-07 02:59:28
11,Vaini,15.34,74.49,69.8,100,40,1.25,IN,2019-11-07 02:59:28
12,Castro,-42.48,-73.76,35.46,97,97,1.81,CL,2019-11-07 02:59:28
13,Vanimo,-2.67,141.3,82.54,69,98,3.24,PG,2019-11-07 02:59:29
14,San Cristobal,14.68,-86.92,64.2,95,100,2.08,HN,2019-11-07 02:59:29
15,Ulladulla,-35.36,150.48,75.2,23,0,29.97,AU,2019-11-07 02:59:29
16,Ewa Beach,21.32,-158.01,86.0,58,1,10.29,US,2019-11-07 02:59:29
17,Bluff,-23.58,149.07,88.39,19,0,3.22,AU,2019-11-07 02:59:30
18,Maldonado,-34.91,-54.96,65.37,75,98,11.48,UY,2019-11-07 02:59:30
19,Mataura,-46.19,168.86,66.67,69,100,2.68,NZ,2019-11-07 02:59:30
20,Jamestown,-33.21,138.6,65.84,41,28,16.15,AU,2019-11-07 02:59:30
21,Geraldton,49.72,-86.95,15.8,78,90,13.87,CA,2019-11-07 02:59:30
22,Punta Arenas,-53.16,-70.91,37.4,74,40,34.45,CL,2019-11-07 02:58:38
23,Mitu,36.2,46.09,38.34,57,0,5.99,IR,2019-11-07 02:59:31
24,Bredasdorp,-34.53,20.04,59.0,58,23,20.8,ZA,2019-11-07 02:59:31
25,Port Alfred,-33.59,26.89,61.0,90,100,5.01,ZA,2019-11-07 02:59:32
26,Busselton,-33.64,115.35,73.99,31,0,4.12,AU,2019-11-07 02:59:32
27,Qaanaaq,77.48,-69.36,-0.01,57,14,6.51,GL,2019-11-07 02:59:32
28,Sitka,37.17,-99.65,47.73,60,100,23.73,US,2019-11-07 02:59:32
29,Rikitea,-23.12,-134.97,77.59,72,0,3.76,PF,2019-11-07 02:59:33
30,Yuma,32.73,-114.62,89.6,20,1,7.7,US,2019-11-07 02:59:33
31,Luanda,-8.83,13.24,77.0,88,75,3.36,AO,2019-11-07 02:59:33
32,Saint-Philippe,45.36,-73.48,39.99,59,90,10.29,CA,2019-11-07 02:59:33
33,Atuona,-9.8,-139.03,80.31,77,100,17.25,PF,2019-11-07 02:59:33
34,Te Anau,-45.41,167.72,56.03,70,80,6.17,NZ,2019-11-07 02:59:34
35,Marrakesh,31.63,-7.99,53.6,76,0,5.82,MA,2019-11-07 02:59:34
36,Mbaiki,3.87,17.99,69.66,93,95,0.67,CF,2019-11-07 02:59:34
37,Makakilo City,21.35,-158.09,86.0,58,1,10.29,US,2019-11-07 02:59:34
38,East London,-33.02,27.91,65.8,79,100,15.05,ZA,2019-11-07 02:59:34
39,Cherskiy,68.75,161.3,27.84,74,100,10.94,RU,2019-11-07 02:59:35
40,Lyman,48.98,37.82,53.78,89,0,7.78,UA,2019-11-07 02:59:35
41,Saskylakh,71.97,114.09,-22.58,97,0,5.93,RU,2019-11-07 02:59:35
42,Yellowknife,62.45,-114.38,9.0,84,5,4.7,CA,2019-11-07 02:59:36
43,Chuy,-33.69,-53.46,59.4,74,97,6.98,UY,2019-11-07 02:59:36
44,New Norfolk,-42.78,147.06,53.01,81,75,25.28,AU,2019-11-07 02:59:36
45,Broken Hill,-31.97,141.45,69.8,32,0,12.75,AU,2019-11-07 02:59:36
46,Ribas Do Rio Pardo,-20.45,-53.76,73.08,81,100,0.6,BR,2019-11-07 02:59:37
47,Ancud,-41.87,-73.83,46.36,81,100,6.06,CL,2019-11-07 02:59:37
48,Vanavara,60.35,102.28,11.55,91,3,3.38,RU,2019-11-07 02:59:37
49,Coquimbo,-29.95,-71.34,57.24,88,0,3.76,CL,2019-11-07 02:59:37
50,Sao Filipe,14.9,-24.5,74.84,80,2,18.66,CV,2019-11-07 02:59:37
51,Kodiak,39.95,-94.76,37.99,59,90,18.34,US,2019-11-07 02:59:38
52,Yurkivka,48.69,28.58,45.0,88,99,5.57,UA,2019-11-07 02:59:38
53,Guymon,36.68,-101.48,37.4,68,90,23.04,US,2019-11-07 02:59:38
54,Inhambane,-23.87,35.38,74.57,89,0,10.8,MZ,2019-11-07 02:57:50
55,Thompson,55.74,-97.86,5.0,77,90,3.36,CA,2019-11-07 02:59:39
56,Ponta Do Sol,-20.63,-46.0,68.22,95,97,5.35,BR,2019-11-07 02:59:39
57,Richards Bay,-28.77,32.06,75.52,76,0,9.82,ZA,2019-11-07 02:59:39
58,Hermanus,-34.42,19.24,59.0,67,99,14.0,ZA,2019-11-07 02:59:39
59,Russell,38.9,-98.86,36.0,64,90,28.86,US,2019-11-07 02:59:40
60,Angren,41.01,70.08,36.03,47,0,1.21,UZ,2019-11-07 02:59:40
61,Hithadhoo,-0.6,73.08,82.45,68,100,6.02,MV,2019-11-07 02:59:40
62,Nikolskoye,59.7,30.79,26.01,79,100,11.18,RU,2019-11-07 02:59:40
63,Port Hardy,50.7,-127.42,46.4,93,90,3.36,CA,2019-11-07 02:59:40
64,Hilo,19.71,-155.08,82.4,69,1,6.93,US,2019-11-07 02:59:41
65,Shar,7.3,8.73,75.58,90,5,4.81,NG,2019-11-07 02:59:41
66,Goma,-1.67,29.23,53.67,94,10,1.36,CD,2019-11-07 02:59:41
67,Pizarro,4.95,-77.37,80.15,84,100,8.14,CO,2019-11-07 02:59:41
68,Faanui,-16.48,-151.75,80.83,81,3,16.42,PF,2019-11-07 02:59:41
69,Hobart,-42.88,147.33,53.01,81,75,25.28,AU,2019-11-07 02:55:31
70,Road Town,18.42,-64.62,82.4,74,40,13.87,VG,2019-11-07 02:56:07
71,Lebu,8.96,38.73,53.6,66,20,3.36,ET,2019-11-07 02:59:42
72,Amapa,15.09,-87.97,66.54,96,23,1.36,HN,2019-11-07 02:59:42
73,Barrow,-38.31,-60.23,61.7,39,20,10.11,AR,2019-11-07 02:59:42
74,Cape Town,-33.93,18.42,60.01,67,75,6.93,ZA,2019-11-07 02:56:38
75,Darhan,49.49,105.92,35.24,47,0,8.08,MN,2019-11-07 02:59:43
76,Victor Harbor,-35.55,138.62,63.0,67,75,25.28,AU,2019-11-07 02:59:43
77,Havre-Saint-Pierre,50.23,-63.6,26.6,49,1,24.16,CA,2019-11-07 02:59:43
78,The Valley,18.22,-63.06,82.4,74,40,13.87,AI,2019-11-07 02:58:57
79,Verkhnyaya Inta,65.99,60.32,5.43,97,99,3.33,RU,2019-11-07 02:59:44
80,Beringovskiy,63.05,179.32,30.06,87,96,13.71,RU,2019-11-07 02:59:44
81,Skjervoy,70.03,20.97,28.69,68,0,17.85,NO,2019-11-07 02:59:44
